Year,Month,Tmax,Tmin,Rain
2008,2,9.4,2,27.4
2008,3,9.2,3.4,91.8
2008,4,12.5,4.7,45.5
2008,5,16,9.9,49.9
2008,6,19.1,11.3,40.9
2008,7,21.1,13.5,30.6
2008,8,21.4,14.1,72.4
2008,9,18.2,10.8,68.4
2008,10,14.2,6.5,86.5
2008,11,10.1,5.5,102.8
2008,12,6.7,2.4,32.8
2009,1,5.6,1.2,42.3
2009,2,7.1,2,54.8
2009,3,10.9,2.9,42.7
2009,4,13.6,6.6,5.9
2009,5,16.5,9.3,38.3
2009,6,18.1,11.6,64.2
2009,7,21.2,13.2,85.3
2009,8,22.8,14.1,18.7
2009,9,19.5,11.9,13.6
2009,10,15.3,    9.3,   40.2
2009,11,12.4,6.3,75.4
2009,12,7,2.3,99.8
2010,1,3.9,0,56.1
2010,2,5.3,0.6,89.1
2010,3,9.9,    2.9,   29.4
2010,4,12.9,4.3,18.8
2010,5,14.6,6.9,11.1
2010,6,18.7,11.4,25.2
2010,7,23.6,14.9,51
2010,8,20.2,12.9,140.5
2010,9,18.4,11.2,75.6
2010,10,14.5,8.4,64.5
2010,11,9.2,    4.3,  100.5
2010,12,3.7,   -1.4,   21.8
2011,1,7,    2.7,   61.8
2011,2,9,    4.1,   36.5
2011,3,9.8,    3.2,    5.2
2011,4,15.8,    7.0,    6.0
2011,5,17.9,    9.0,    9.2
2011,6,19.7,   11.6,   70.9
2011,7,19,   12.3,   55.4
2011,8,20.2,   13.2,   57.8
2011,9,21.1,   12.3,   18.1
2011,10,17.1,   10.0,   46.5
2011,11,13.1,    7.4,   22.7
2011,12,8.7,    2.7,   54.9
2012,1,8.7,    3.1,   33.1
2012,2,7.1,    1.6,   13.8
2012,3,11.3,    3.7,   64.2
2012,4,10.9,    4.3,  108.9
2012,5,15.1,    8.6,   46.6
2012,6,17.9,   10.9,   74.4
2012,7,20.3,   12.8,   93.6
2012,8,22,   14.0,   59.6
2012,9,18.9,    9.5,   38.8
2012,10,13.6,    7.9,   92.7
2012,11,10.5,    4.4,   62.1
2012,12,7.9,    2.4,   95.6
2013,1,6.1,    0.8,   49.3
2013,2,5,    1.3,   36.4
2013,3,5.3,    1.0,   92.0
2013,4,11.4,    3.9,   18.6
2013,5,14.5,    6.4,   53.8
2013,6,17.2,   10.7,   29.6
2013,7,21.4,   13.6,    5.5
2013,8,22.1,   14.3,   26.9
2013,9,18.6,   11.1,   36.9
2013,10,16.1,   10.3,   92.4
2013,11,9.7,    4.6,   54.7
2013,12,9.1,    3.0,   45.6
2014,1,8.6,    3.3,   62.4
2014,2,9.9,    4.0,   74.1
2014,3,12.6,    4.4,   27.5
2014,4,13.6,    7.4,   12.5
2014,5,16.7,    9.7,   94.8
2014,6,19,   11.3,   28.5
2014,7,21.7,   15.1,   59.3
2014,8,20.2,   12.7,   95.2
2014,9,19.4,   12.6,   18.6
2014,10,17.2,   10.9,   63.7
2014,11,12.2,    7.3,  126.6
2014,12,8.3,    3.2,   58.4
2015,1,7.5,    1.5,   44.3
2015,2,7.6,    2.0,   36.7
2015,3,10.7,    3.4,   24.8
2015,4,12.5,    4.4,   15.7
2015,5,15.7,    7.5,   47.0
2015,6,18.7,   10.2,   25.4
2015,7,22,   13.4,  152.6
2015,8,21.8,   13.7,   78.2
2015,9,17.2,   10.2,   67.6
2015,10,14.5,    8.6,   36.8
2015,11,13.1,    6.8,   61.2
2015,12,12.5,    7.2,   38.9
2016,1,8.6,    2.7,  104.9
2016,2,8.4,    2.5,   30.6
2016,3,9.2,    3.3,   65.6
2016,4,11,    4.1,   63.2
2016,5,16,    9.0,   46.0
2016,6,18.3,   11.9,   90.9
2016,7,22.4,   13.7,   38.6
2016,8,22.9,   13.7,   16.4
2016,9,22,   13.8,   37.7
2016,10,15.1,    9.1,   59.3
2016,11,10.3,    3.8,   57.8
2016,12,9.2,    3.7,   18.6
2017,1,6.4,    1.6,   30.7
2017,2,8.9,    4.5,   45.7
2017,3,12.5,    5.6,   25.6
2017,4,12.7,    5.4,   17.2
2017,5,17.4,   10.2,   59.9
2017,6,21.2,   13.5,   64.7
2017,7,21.6,   14.1,   54.1
2017,8,21.5,   13.2,   58.4
